2. März,Sa,Open Data,link,,,Muenchen
9-10 März ,,What The Hackathon,link ,LoraWan,2000 (total?),Emmen (NL) 
7-9 März,,Hacknext,link,Versicherung,??,Muenchen
15. Maerz,Fr,Reply Challenges,link,Online Algo ,,Online
8-10 März ,,Start Hack,link,"Max Alter?, 4er teams",,St. Gallen
21-23 März,Do-Sa,Tchibo,link,,,Hamburg
22-24 März ,,Safety Days,link,,,Paderborn
25-16 März,,Infineon,link,,,Graz
2-4 April,,PAX (Flug),link,,5000/Challenge,Hamburg
7+8 April,,Energy Efficiency,link,"Energy eff., Energiewende",2500€ non-cash,Berlin
10-12 April,,E-Tourism Hackathon Seefeld 2019,link,"Tourismus, Datenvisualisierung, Chatbot","2000, 1500, 1000",Seefeld (Österreich)
12-14 April,Fr-Sa,Arkathon,link,Health,,
4-5 Mai,,Hack Prague,link,“use available data to improve the quality of life in cities”,,Prague
10-12 Mai,,Campus Hackathon,link,noch nicht bekannt,wenig,Muenchen
14+15 Mai,,Bosch Connected Experience,link,700 Hackers,,Berlin
20-22 Mai,,MD-Devdays,link,"Digitalisierung???",,Magdeburg
3-5 Sept,,Data Hacker Days,link,120€ Eintritt (WTF),??,Berlin
20-22 Sept,,Industrie 4.0,link,Orga wie Stuttgart Hackathon,,Bremen
27-29,,HackZurich,link,,,Zuerich
18.-19. OKT 2019,,Innovation Challenge / GZDN Hackathon,link ,,,Passau
2019,,Hackathon WI 2019,link ,Wirtschaftsinformatik,2000€,Siegen
